# OPEN WORLD INTERNATIONAL MASTERS
# Rank Name Country MPs PPs
Martin Kirr,Canada 22 1
Evaggelos Nartis,Greece 22 1
K.V.K. Murthy,India 22 0
Thomas Schwenkreis,Germany 22 0
Mike Smolen,U.S.A. 22 0
Paolo Vitale,Italy 22 0
Andrzej Milde,Poland 20 3.5
Cliff Russell,U.S.A. 20 3.5
George Karlaftis,Greece 20 1
Serge Rouquillaud,France 20 0
Anders Berglund,Sweden 19 0
Chuck Lamprey,U.S.A. 19 0
Jeff Ferro,U.S.A. 17 1
Marek Kudla,Poland 13 3.5
Franz Baratta,Austria 0 2
